level,label,n_reviewed,n_judge,tp,precision,recall,f1,exact_match,mean_jaccard,kappa
3,Reasoning > option evaluation > (D),0,3,0,0.0000,0.0000,0.0000,,,
3,Reasoning > option evaluation > (E),9,15,7,0.4667,0.7778,0.5833,,,
3,Reasoning > option evaluation > (F),0,12,0,0.0000,0.0000,0.0000,,,
3,Reasoning > speculation > intent of the question writer,32,15,10,0.6667,0.3125,0.4255,,,
3,Reflection > emotion or impression,1,2,0,0.0000,0.0000,0.0000,,,
3,Reflection > meta-evaluation of a step,14,15,12,0.8000,0.8571,0.8276,,,
3,Reflection > meta-evaluation of a step > option (B),3,0,0,0.0000,0.0000,0.0000,,,
3,Reflection > meta-evaluation of a step > option (C),7,3,3,1.0000,0.4286,0.6000,,,
3,Reflection > meta-evaluation of a step > option (D),3,0,0,0.0000,0.0000,0.0000,,,
3,Reflection > meta-evaluation of a step > option (E),5,2,2,1.0000,0.4000,0.5714,,,
3,Reflection > meta-evaluation of a step > option (F),3,0,0,0.0000,0.0000,0.0000,,,
3,Reflection > rhetorical phrase,0,1,0,0.0000,0.0000,0.0000,,,
3,Restatement > rephrasing an earlier sentence,70,12,7,0.5833,0.1000,0.1707,,,
3,Restatement > rephrasing the prompt > answer-format instruction,7,9,7,0.7778,1.0000,0.8750,,,
3,Restatement > rephrasing the prompt > option text,24,29,22,0.7586,0.9167,0.8302,,,
3,Restatement > rephrasing the prompt > question text,22,26,21,0.8077,0.9545,0.8750,,,
