level,label,n_reviewed,n_judge,tp,precision,recall,f1,exact_match,mean_jaccard,kappa
3,Reasoning > logical reasoning > algebra,18,12,1,0.0833,0.0556,0.0667,,,
3,Reasoning > option evaluation > (A),11,6,4,0.6667,0.3636,0.4706,,,
3,Reasoning > option evaluation > (B),0,4,0,0.0000,0.0000,0.0000,,,
3,Reasoning > option evaluation > (C),25,180,16,0.0889,0.6400,0.1561,,,
3,Reasoning > option evaluation > (D),0,3,0,0.0000,0.0000,0.0000,,,
3,Reasoning > option evaluation > (E),9,14,4,0.2857,0.4444,0.3478,,,
3,Reasoning > option evaluation > (F),0,6,0,0.0000,0.0000,0.0000,,,
3,Reasoning > speculation > intent of the question writer,32,24,5,0.2083,0.1562,0.1786,,,
3,Reflection > emotion or impression,1,26,0,0.0000,0.0000,0.0000,,,
3,Reflection > meta-evaluation of a step,14,0,0,0.0000,0.0000,0.0000,,,
3,Reflection > meta-evaluation of a step > option (B),3,0,0,0.0000,0.0000,0.0000,,,
3,Reflection > meta-evaluation of a step > option (C),7,0,0,0.0000,0.0000,0.0000,,,
3,Reflection > meta-evaluation of a step > option (D),3,0,0,0.0000,0.0000,0.0000,,,
3,Reflection > meta-evaluation of a step > option (E),5,1,1,1.0000,0.2000,0.3333,,,
3,Reflection > meta-evaluation of a step > option (F),3,0,0,0.0000,0.0000,0.0000,,,
3,Restatement > rephrasing an earlier sentence,70,0,0,0.0000,0.0000,0.0000,,,
3,Restatement > rephrasing the prompt > answer-format instruction,7,7,5,0.7143,0.7143,0.7143,,,
3,Restatement > rephrasing the prompt > option text,24,8,7,0.8750,0.2917,0.4375,,,
3,Restatement > rephrasing the prompt > question text,22,17,10,0.5882,0.4545,0.5128,,,
