level,label,n_reviewed,n_judge,tp,precision,recall,f1,exact_match,mean_jaccard,kappa
3,Assumption > branching (case split),1,0,0,0.0000,0.0000,0.0000,,,
3,Assumption > branching (case split) > algebra,4,3,3,1.0000,0.7500,0.8571,,,
3,Conclusion > final answer,3,3,3,1.0000,1.0000,1.0000,,,
3,Conclusion > intermediate conclusion,37,58,32,0.5517,0.8649,0.6737,,,
3,Example > non-exhaustive listing,0,4,0,0.0000,0.0000,0.0000,,,
3,Example > non-exhaustive listing > algebra,17,25,17,0.6800,1.0000,0.8095,,,
3,Example > rhetorical example,5,0,0,0.0000,0.0000,0.0000,,,
3,Knowledge > commonsense,3,0,0,0.0000,0.0000,0.0000,,,
3,Knowledge > concept or definition > well-posedness,6,5,5,1.0000,0.8333,0.9091,,,
3,Knowledge > self-knowledge > evaluation context,1,1,1,1.0000,1.0000,1.0000,,,
3,Knowledge > self-knowledge > role,4,3,3,1.0000,0.7500,0.8571,,,
3,Knowledge > world knowledge,0,1,0,0.0000,0.0000,0.0000,,,
3,Knowledge > world knowledge > famous problem (CRT),16,19,12,0.6316,0.7500,0.6857,,,
3,Planning > announce output,16,19,16,0.8421,1.0000,0.9143,,,
3,Planning > announce the conclusion,5,2,2,1.0000,0.4000,0.5714,,,
3,Planning > global plan,35,38,31,0.8158,0.8857,0.8493,,,
3,Planning > initiate backtracking,8,4,1,0.2500,0.1250,0.1667,,,
3,Planning > initiate verification,42,38,27,0.7105,0.6429,0.6750,,,
3,Planning > local plan,71,78,61,0.7821,0.8592,0.8188,,,
3,Reasoning > calculation > algebra,35,14,9,0.6429,0.2571,0.3673,,,
3,Reasoning > commonsense reasoning,12,14,10,0.7143,0.8333,0.7692,,,
3,Reasoning > comparison > option vs option,8,8,4,0.5000,0.5000,0.5000,,,
3,Reasoning > comparison > prompt vs original text,9,8,7,0.8750,0.7778,0.8235,,,
3,Reasoning > defining symbols > algebra,15,17,10,0.5882,0.6667,0.6250,,,
3,Reasoning > hedge word analysis,0,1,0,0.0000,0.0000,0.0000,,,
3,Reasoning > hedge word analysis > everyday reading,4,0,0,0.0000,0.0000,0.0000,,,
3,Reasoning > hedge word analysis > mathematical reading,8,1,1,1.0000,0.1250,0.2222,,,
3,Reasoning > hedge word analysis > undecided,1,0,0,0.0000,0.0000,0.0000,,,
3,Reasoning > logical reasoning,20,36,18,0.5000,0.9000,0.6429,,,
3,Reasoning > logical reasoning > algebra,18,30,7,0.2333,0.3889,0.2917,,,
3,Reasoning > option evaluation > (A),11,10,5,0.5000,0.4545,0.4762,,,
3,Reasoning > option evaluation > (B),0,1,0,0.0000,0.0000,0.0000,,,
3,Reasoning > option evaluation > (C),25,42,20,0.4762,0.8000,0.5970,,,
3,Reasoning > option evaluation > (E),9,11,8,0.7273,0.8889,0.8000,,,
3,Reasoning > option evaluation > (F),0,3,0,0.0000,0.0000,0.0000,,,
3,Reasoning > speculation,0,2,0,0.0000,0.0000,0.0000,,,
3,Reasoning > speculation > intent of the question writer,32,10,9,0.9000,0.2812,0.4286,,,
3,Reflection > emotion or impression,1,1,0,0.0000,0.0000,0.0000,,,
3,Reflection > meta-evaluation of a step,14,12,12,1.0000,0.8571,0.9231,,,
3,Reflection > meta-evaluation of a step > option (A),0,2,0,0.0000,0.0000,0.0000,,,
3,Reflection > meta-evaluation of a step > option (B),3,2,2,1.0000,0.6667,0.8000,,,
3,Reflection > meta-evaluation of a step > option (C),7,3,2,0.6667,0.2857,0.4000,,,
3,Reflection > meta-evaluation of a step > option (D),3,3,3,1.0000,1.0000,1.0000,,,
3,Reflection > meta-evaluation of a step > option (E),5,3,2,0.6667,0.4000,0.5000,,,
3,Reflection > meta-evaluation of a step > option (F),3,3,2,0.6667,0.6667,0.6667,,,
3,Reflection > unspecified,0,1,0,0.0000,0.0000,0.0000,,,
3,Restatement > rephrasing an earlier sentence,70,33,25,0.7576,0.3571,0.4854,,,
3,Restatement > rephrasing the prompt > answer-format instruction,7,9,7,0.7778,1.0000,0.8750,,,
3,Restatement > rephrasing the prompt > option text,24,29,22,0.7586,0.9167,0.8302,,,
3,Restatement > rephrasing the prompt > question text,22,19,18,0.9474,0.8182,0.8780,,,
