# s0_split collection=sweep44 2026-09-16T22:24:45 traces=44 records=15295
# trace_id	characters	sentences
rs0823_e036_cut061_003	10215	232
rs0823_e036_cut061_004	9039	180
rs0823_e036_cut061_002	10066	197
rs0823_e036_cut061_005	6635	125
rs0823_e036_cut061_006	10828	212
rs0823_e036_cut061_007	8701	183
rs0823_e036_cut061_008	8937	183
rs0823_e036_cut061_009	8491	176
rs0823_e036_cut061_013	9081	172
rs0823_e036_cut061_012	10075	194
rs0823_e036_cut061_010	9201	199
rs0823_e036_cut061_011	8412	187
rs0823_e036_cut061_017	6213	137
rs0823_e036_cut061_015	8414	169
rs0823_e036_cut061_016	9027	189
rs0823_e036_cut061_014	9897	214
rs0823_e036_cut061_018	8777	165
rs0823_e036_cut061_020	7802	138
rs0823_e036_cut061_021	9090	178
rs0823_e036_cut061_019	11004	188
rs0823_e036_cut061_023	7880	160
rs0823_e036_cut061_022	8718	185
rs0823_e036_cut062_000	6771	154
rs0823_e036_cut062_001	8382	174
rs0823_e036_cut061_024	15594	302
rs0823_e036_cut062_003	8282	182
rs0823_e036_cut062_002	12638	238
rs0823_e036_cut062_006	7312	147
rs0823_e036_cut062_005	10344	213
rs0823_e036_cut062_004	10437	204
rs0823_e036_cut062_007	8269	150
rs0823_e036_cut062_008	9749	193
rs0823_e036_cut062_010	8146	184
rs0823_e036_cut062_011	10447	200
rs0823_e036_cut062_009	12597	217
rs0823_e036_cut062_012	7719	156
rs0823_e036_cut062_014	6530	117
rs0823_e036_cut062_013	9940	204
rs0823_e036_cut062_015	11405	215
rs0823_e036_cut062_016	8244	171
rs0823_e036_cut062_017	9260	185
rs0823_e036_cut062_018	9681	181
rs0823_e036_cut062_020	8446	189
rs0823_e036_cut062_019	10524	204
rs0823_e036_cut062_021	8134	175
rs0823_e036_cut062_022	11340	224
rs0823_e036_cut062_023	9585	184
rs0823_e036_cut062_024	7581	136
rs0823_e036_cut063_001	6272	113
rs0823_e036_cut063_000	10713	206
rs0823_e036_cut063_003	10121	193
rs0823_e036_cut063_002	9449	196
rs0823_e036_cut063_005	10176	201
rs0823_e036_cut063_004	14941	290
rs0823_e036_cut063_007	8102	158
rs0823_e036_cut063_006	9745	191
rs0823_e036_cut063_008	10032	178
rs0823_e036_cut063_009	9320	193
rs0823_e036_cut063_010	8450	188
rs0823_e036_cut063_012	8325	184
rs0823_e036_cut063_011	10028	214
rs0823_e036_cut063_013	7673	155
rs0823_e036_cut063_014	7200	154
rs0823_e036_cut063_016	5124	98
rs0823_e036_cut063_015	8221	170
rs0823_e036_cut063_017	8756	192
rs0823_e036_cut063_018	10599	189
rs0823_e036_cut063_020	8487	178
rs0823_e036_cut063_019	9449	174
rs0823_e036_cut063_021	10579	209
rs0823_e036_cut063_022	9289	185
rs0823_e036_cut063_023	8939	175
rs0823_e036_cut063_024	9166	176
rs0823_e036_cut064_001	9834	204
rs0823_e036_cut064_002	9397	185
rs0823_e036_cut064_000	13886	247
rs0823_e036_cut064_003	7926	159
rs0823_e036_cut064_006	8117	162
rs0823_e036_cut064_004	9119	162
rs0823_e036_cut064_007	8830	184
rs0823_e036_cut064_005	11092	215
rs0823_e036_cut064_009	8884	181
rs0823_e036_cut064_008	10259	202
rs0823_e036_cut064_011	7945	161
rs0823_e036_cut064_010	9176	182
rs0823_e036_cut064_012	7920	165
rs0823_e036_cut064_013	7600	155
rs0823_e036_cut064_014	7750	165
rs0823_e036_cut064_015	9958	192
rs0823_e036_cut064_017	8567	172
rs0823_e036_cut064_016	11516	236
rs0823_e036_cut064_018	8992	187
rs0823_e036_cut064_022	7079	150
rs0823_e036_cut064_021	8531	186
rs0823_e036_cut064_020	9723	185
rs0823_e036_cut064_019	11195	229
rs0823_e036_cut064_024	8751	176
rs0823_e036_cut064_023	11057	215
rs0823_e036_cut065_000	7914	165
rs0823_e036_cut065_001	9913	224
rs0823_e036_cut065_002	8422	172
rs0823_e036_cut065_004	10419	203
rs0823_e036_cut065_005	8965	173
rs0823_e036_cut065_003	14636	290
rs0823_e036_cut065_006	8654	184
rs0823_e036_cut065_008	8551	181
rs0823_e036_cut065_007	10656	227
rs0823_e036_cut065_009	10045	181
rs0823_e036_cut065_010	8309	156
rs0823_e036_cut065_012	8644	166
rs0823_e036_cut065_013	8003	153
rs0823_e036_cut065_014	9295	187
rs0823_e036_cut065_011	16360	293
rs0823_e036_cut065_016	7755	163
rs0823_e036_cut065_015	13383	268
rs0823_e036_cut065_017	9793	200
rs0823_e036_cut065_018	9884	191
rs0823_e036_cut065_019	8487	171
rs0823_e036_cut065_020	7738	139
rs0823_e036_cut065_021	9361	199
rs0823_e036_cut065_022	7301	151
rs0823_e036_cut065_023	7425	154
rs0823_e036_cut065_024	8849	160
rs0823_c004_cut058_000	17010	346
rs0823_c004_cut058_002	23582	430
rs0823_c004_cut058_003	39475	746
rs0823_c004_cut058_005	24872	460
rs0823_c004_cut058_001	54108	1024
rs0823_c004_cut058_006	20086	359
rs0823_c004_cut058_007	20200	337
rs0823_c004_cut058_004	57886	1119
rs0823_c004_cut058_009	24564	489
rs0823_c004_cut058_008	54669	1020
rs0823_c004_cut058_011	45863	924
rs0823_c004_cut058_010	62176	1116
rs0823_c004_cut058_013	22526	406
rs0823_c004_cut058_012	56788	1107
rs0823_c004_cut058_015	28989	481
rs0823_c004_cut058_016	29351	519
rs0823_c004_cut058_014	58745	1110
rs0823_c004_cut058_017	54567	1016
rs0823_c004_cut058_020	27197	497
rs0823_c004_cut058_018	57990	1123
rs0823_c004_cut058_019	57320	1102
rs0823_c004_cut058_022	21702	357
rs0823_c004_cut058_021	43625	821
rs0823_c004_cut059_000	37904	647
rs0823_c004_cut058_023	51585	998
rs0823_c004_cut059_002	17856	325
rs0823_c004_cut059_001	28371	532
rs0823_c004_cut058_024	55239	1010
rs0823_c004_cut059_004	20220	386
rs0823_c004_cut059_005	31405	605
rs0823_c004_cut059_003	51065	939
rs0823_c004_cut059_006	35761	629
rs0823_c004_cut059_007	30232	529
rs0823_c004_cut059_010	28341	474
rs0823_c004_cut059_009	41285	792
rs0823_c004_cut059_008	58238	1069
rs0823_c004_cut059_011	47986	841
rs0823_c004_cut059_012	56279	1022
rs0823_c004_cut059_013	51799	986
rs0823_c004_cut059_014	61409	1156
rs0823_c004_cut059_015	58728	1105
rs0823_c004_cut059_016	57654	1125
rs0823_c004_cut059_017	54812	1030
rs0823_c004_cut059_019	41846	742
rs0823_c004_cut059_018	57108	1100
rs0823_c004_cut059_020	39107	682
rs0823_c004_cut059_021	56169	1015
rs0823_c004_cut059_022	55582	1006
rs0823_c004_cut060_000	14552	269
rs0823_c004_cut059_023	56939	999
rs0823_c004_cut059_024	58012	1133
rs0823_c004_cut060_001	25801	477
rs0823_c004_cut060_004	19718	384
rs0823_c004_cut060_002	35609	710
rs0823_c004_cut060_003	25035	450
rs0823_c004_cut060_005	44952	809
rs0823_c004_cut060_006	25167	450
rs0823_c004_cut060_007	24806	517
rs0823_c004_cut060_008	30599	529
rs0823_c004_cut060_009	26247	462
rs0823_c004_cut060_011	28452	545
rs0823_c004_cut060_010	33286	630
rs0823_c004_cut060_012	28030	473
rs0823_c004_cut060_013	15847	311
rs0823_c004_cut060_014	20761	401
rs0823_c004_cut060_016	26913	474
rs0823_c004_cut060_017	32522	596
rs0823_c004_cut060_015	48149	912
rs0823_c004_cut060_019	22760	432
rs0823_c004_cut060_020	17801	323
rs0823_c004_cut060_018	56485	992
rs0823_c004_cut060_021	26173	454
rs0823_c004_cut060_023	20167	409
rs0823_c004_cut061_001	12968	238
rs0823_c004_cut061_000	26665	458
rs0823_c004_cut060_024	28625	523
rs0823_c004_cut060_022	62419	1115
rs0823_c004_cut061_002	26296	446
rs0823_c004_cut061_003	24080	450
rs0823_c004_cut061_005	22101	428
rs0823_c004_cut061_004	37011	692
rs0823_c004_cut061_006	29755	556
rs0823_c004_cut061_008	15879	316
rs0823_c004_cut061_009	23277	433
rs0823_c004_cut061_011	19186	343
rs0823_c004_cut061_007	58149	1097
rs0823_c004_cut061_012	26474	518
rs0823_c004_cut061_013	21294	371
rs0823_c004_cut061_014	26585	486
rs0823_c004_cut061_010	59070	1039
rs0823_c004_cut061_015	32595	608
rs0823_c004_cut061_016	30635	545
rs0823_c004_cut061_017	28988	579
rs0823_c004_cut061_018	23951	447
rs0823_c004_cut061_020	18721	362
rs0823_c004_cut061_021	20298	357
rs0823_c004_cut061_022	19334	416
rs0823_c004_cut061_023	17618	346
rs0823_c004_cut062_001	23664	441
rs0823_c004_cut061_019	55665	959
rs0823_c004_cut062_000	41566	808
rs0823_c004_cut062_003	20056	347
rs0823_c004_cut062_002	34796	592
rs0823_c004_cut061_024	62999	1097
rs0823_c004_cut062_004	26988	460
rs0823_c004_cut062_005	22063	422
rs0823_c004_cut062_008	24384	447
rs0823_c004_cut062_006	23979	440
rs0823_c004_cut062_009	30877	569
rs0823_c004_cut062_007	39009	702
rs0823_c004_cut062_013	18098	337
rs0823_c004_cut062_012	25539	450
rs0823_c004_cut062_011	31047	581
rs0823_c004_cut062_010	40589	730
rs0823_c004_cut062_015	15963	305
rs0823_c004_cut062_014	24565	440
rs0823_c004_cut062_017	24582	450
rs0823_c004_cut062_019	17407	347
rs0823_c004_cut062_016	37535	712
rs0823_c004_cut062_018	39644	701
rs0823_c004_cut062_020	27174	512
rs0823_c004_cut062_022	27549	509
rs0823_c004_cut062_024	18663	348
rs0823_c004_cut062_021	46142	815
rs0823_c004_cut062_023	33702	610
rs0823_c004_cut063_002	15787	280
rs0823_c004_cut063_003	17726	321
rs0823_c004_cut063_000	44507	848
rs0823_c004_cut063_005	16854	315
rs0823_c004_cut063_004	25833	476
rs0823_c004_cut063_001	55806	1133
rs0823_c004_cut063_006	18976	339
rs0823_c004_cut063_008	29632	516
rs0823_c004_cut063_009	21400	400
rs0823_c004_cut063_007	34592	638
rs0823_c004_cut063_011	15497	274
rs0823_c004_cut063_010	36808	668
rs0823_c004_cut063_012	21493	407
rs0823_c004_cut063_013	27655	481
rs0823_c004_cut063_014	20471	392
rs0823_c004_cut063_016	29886	543
rs0823_c004_cut063_018	25388	536
rs0823_c004_cut063_017	30895	506
rs0823_c004_cut063_021	18308	334
rs0823_c004_cut063_019	21955	393
rs0823_c004_cut063_015	54929	1060
rs0823_c004_cut063_023	28157	543
rs0823_c004_cut063_024	30277	535
rs0823_c004_cut063_020	56584	1102
rs0823_c004_cut064_001	20535	373
rs0823_c004_cut064_002	16617	330
rs0823_c004_cut063_022	58143	1122
rs0823_c004_cut064_000	36382	722
rs0823_c004_cut064_004	18048	339
rs0823_c004_cut064_006	13182	245
rs0823_c004_cut064_003	39075	724
rs0823_c004_cut064_005	43755	829
rs0823_c004_cut064_007	30627	555
rs0823_c004_cut064_008	26562	479
rs0823_c004_cut064_009	21085	435
rs0823_c004_cut064_010	16510	293
rs0823_c004_cut064_012	19153	353
rs0823_c004_cut064_014	19010	316
rs0823_c004_cut064_015	23864	411
rs0823_c004_cut064_011	57140	1136
rs0823_c004_cut064_016	27510	502
rs0823_c004_cut064_013	57414	1138
rs0823_c004_cut064_017	27651	504
rs0823_c004_cut064_019	18633	373
rs0823_c004_cut064_018	24601	476
rs0823_c004_cut064_021	19234	338
rs0823_c004_cut064_022	29662	536
rs0823_c004_cut064_024	17576	327
rs0823_c004_cut064_020	57742	1069
rs0823_c004_cut067_000	16748	313
rs0823_c004_cut067_001	23444	425
rs0823_c004_cut064_023	56794	1120
rs0823_c004_cut067_002	26635	530
rs0823_c004_cut067_006	11858	234
rs0823_c004_cut067_003	41507	689
rs0823_c004_cut067_004	30777	583
rs0823_c004_cut067_005	18151	331
rs0823_c004_cut067_008	15786	281
rs0823_c004_cut067_010	16661	337
rs0823_c004_cut067_007	31260	536
rs0823_c004_cut067_011	17573	318
rs0823_c004_cut067_012	27233	516
rs0823_c004_cut067_017	15191	275
rs0823_c004_cut067_018	16078	264
rs0823_c004_cut067_016	22943	408
rs0823_c004_cut067_019	21350	406
rs0823_c004_cut067_021	19029	361
rs0823_c004_cut067_023	24118	454
rs0823_c004_cut067_022	28120	555
rs0823_c004_cut067_020	39767	699
rs0823_c004_cut068_000	16493	321
rs0823_c004_cut067_024	38720	736
rs0823_c004_cut068_001	28446	506
rs0823_c004_cut068_003	13883	273
rs0823_c004_cut068_004	15120	279
rs0823_c004_cut068_005	21853	400
rs0823_c004_cut068_002	25212	500
rs0823_c004_cut068_006	12371	229
rs0823_c004_cut068_009	16503	301
rs0823_c004_cut068_008	23963	422
rs0823_c004_cut068_007	30635	597
rs0823_c004_cut068_010	20468	400
rs0823_c004_cut068_011	20791	418
rs0823_c004_cut068_013	13591	260
rs0823_c004_cut068_012	26063	449
rs0823_c004_cut068_016	11946	216
rs0823_c004_cut068_015	28703	556
rs0823_c004_cut068_014	36028	702
rs0823_c004_cut068_017	20573	385
rs0823_c004_cut068_019	14155	231
rs0823_c004_cut068_018	25100	458
rs0823_c004_cut068_020	21005	414
rs0823_c004_cut068_021	21871	397
rs0823_c004_cut068_024	20077	342
rs0823_c004_cut068_022	35281	616
rs0823_c004_cut068_023	37501	709
rs0823_c004_cut069_000	30075	573
rs0823_c004_cut069_002	12510	215
rs0823_c004_cut069_001	17071	309
rs0823_c004_cut069_004	13235	254
rs0823_c004_cut069_006	12518	249
rs0823_c004_cut069_003	22969	445
rs0823_c004_cut069_005	17476	349
rs0823_c004_cut069_007	24338	458
rs0823_c004_cut069_008	28373	514
rs0823_c004_cut069_010	23753	499
rs0823_c004_cut069_009	42615	803
rs0823_c004_cut069_011	25372	466
rs0823_c004_cut069_012	20409	373
rs0823_c004_cut069_013	20135	375
rs0823_c004_cut069_015	19486	352
rs0823_c004_cut069_016	23827	461
rs0823_c004_cut069_014	29156	559
rs0823_c004_cut069_017	24083	467
rs0823_c004_cut069_019	12679	224
rs0823_c004_cut069_018	21535	398
rs0823_c004_cut069_021	16186	318
rs0823_c004_cut069_020	23535	425
rs0823_c004_cut069_022	23813	424
rs0823_c004_cut069_023	21692	387
rs0823_c004_cut069_024	37748	655
rs0823_c004_cut067_009	16309	318
rs0823_c004_cut067_014	19011	344
rs0823_c004_cut067_013	27461	504
rs0823_c004_cut067_015	34457	690
rs0823_c004_cut015_003	31791	590
rs0823_c004_cut015_000	30433	602
rs0823_c004_cut015_002	44897	914
rs0823_c004_cut015_001	55479	973
rs0823_c004_cut015_005	54574	989
rs0823_c004_cut015_004	60038	1155
rs0823_c004_cut015_006	55377	1040
rs0823_c004_cut015_007	55661	1058
rs0823_c004_cut015_009	34942	659
rs0823_c004_cut015_010	27552	504
rs0823_c004_cut015_011	23871	459
rs0823_c004_cut015_008	51963	935
rs0823_c004_cut015_013	43846	821
rs0823_c004_cut015_014	43761	822
rs0823_c004_cut015_012	54601	1017
rs0823_c004_cut015_015	57758	1134
rs0823_c004_cut015_016	41313	821
rs0823_c004_cut015_017	41219	807
rs0823_c004_cut015_018	55256	969
rs0823_c004_cut015_020	38436	728
rs0823_c004_cut015_019	57389	1154
rs0823_c004_cut015_021	55168	1002
rs0823_c004_cut015_022	53511	1007
rs0823_c004_cut015_023	61085	1064
rs0823_c004_cut015_024	57584	1071
rs0823_c004_cut029_001	28850	542
rs0823_c004_cut029_000	56712	1096
rs0823_c004_cut029_002	55121	1153
rs0823_c004_cut029_003	54666	993
rs0823_c004_cut029_005	40107	798
rs0823_c004_cut029_004	56585	1131
rs0823_c004_cut029_006	54277	1003
rs0823_c004_cut029_007	56764	1095
rs0823_c004_cut029_008	56605	1157
rs0823_c004_cut029_009	55624	1005
rs0823_c004_cut029_010	56789	1093
rs0823_c004_cut029_011	54345	995
rs0823_c004_cut029_012	53902	1019
rs0823_c004_cut029_013	57306	1127
rs0823_c004_cut029_015	24896	501
rs0823_c004_cut029_014	57584	1047
rs0823_c004_cut029_017	44532	786
rs0823_c004_cut029_016	54636	1071
rs0823_c004_cut029_018	43654	789
rs0823_c004_cut029_022	17963	316
rs0823_c004_cut029_020	40857	797
rs0823_c004_cut029_019	55362	1042
rs0823_c004_cut029_021	55492	1015
rs0823_c004_cut029_024	28672	529
rs0823_c004_cut029_023	55855	1025
rs0823_c004_cut044_000	38320	726
rs0823_c004_cut044_003	23436	430
rs0823_c004_cut044_001	55500	1006
rs0823_c004_cut044_004	33048	611
rs0823_c004_cut044_002	57061	1061
rs0823_c004_cut044_006	20094	381
rs0823_c004_cut044_005	37501	687
rs0823_c004_cut044_008	42282	758
rs0823_c004_cut044_007	57765	1086
rs0823_c004_cut044_009	57728	1097
rs0823_c004_cut044_010	47863	921
rs0823_c004_cut044_013	20742	396
rs0823_c004_cut044_012	38907	757
rs0823_c004_cut044_014	24883	495
rs0823_c004_cut044_011	57789	1123
rs0823_c004_cut044_015	30985	596
rs0823_c004_cut044_016	22396	456
rs0823_c004_cut044_017	41489	768
rs0823_c004_cut044_018	38223	672
rs0823_c004_cut044_019	32879	577
rs0823_c004_cut044_021	30724	583
rs0823_c004_cut044_020	61808	1095
rs0823_c004_cut044_022	47793	862
rs0823_c004_cut044_023	56070	1158
rs0823_c004_cut044_024	53540	1032
