level,label,n_reviewed,n_judge,tp,precision,recall,f1,exact_match,mean_jaccard,kappa
3,Knowledge > world knowledge > famous problem (CRT),16,15,12,0.8000,0.7500,0.7742,,,
3,Planning > announce output,16,17,16,0.9412,1.0000,0.9697,,,
3,Planning > announce the conclusion,5,5,4,0.8000,0.8000,0.8000,,,
3,Planning > global plan,35,34,31,0.9118,0.8857,0.8986,,,
3,Planning > initiate backtracking,8,8,2,0.2500,0.2500,0.2500,,,
3,Planning > initiate verification,42,34,30,0.8824,0.7143,0.7895,,,
3,Planning > local plan,71,77,62,0.8052,0.8732,0.8378,,,
3,Reasoning > calculation > algebra,35,17,14,0.8235,0.4000,0.5385,,,
3,Reasoning > commonsense reasoning,12,13,11,0.8462,0.9167,0.8800,,,
3,Reasoning > comparison > option vs option,8,10,6,0.6000,0.7500,0.6667,,,
3,Reasoning > comparison > prompt vs original text,9,5,5,1.0000,0.5556,0.7143,,,
3,Reasoning > defining symbols > algebra,15,8,6,0.7500,0.4000,0.5217,,,
3,Reasoning > hedge word analysis > everyday reading,4,0,0,0.0000,0.0000,0.0000,,,
3,Reasoning > hedge word analysis > mathematical reading,8,2,2,1.0000,0.2500,0.4000,,,
3,Reasoning > hedge word analysis > undecided,1,1,0,0.0000,0.0000,0.0000,,,
3,Reasoning > logical reasoning,20,26,14,0.5385,0.7000,0.6087,,,
3,Reasoning > logical reasoning > algebra,18,26,6,0.2308,0.3333,0.2727,,,
3,Reasoning > option evaluation > (A),11,9,6,0.6667,0.5455,0.6000,,,
3,Reasoning > option evaluation > (B),0,2,0,0.0000,0.0000,0.0000,,,
3,Reasoning > option evaluation > (C),25,26,16,0.6154,0.6400,0.6275,,,
3,Reasoning > option evaluation > (E),9,16,7,0.4375,0.7778,0.5600,,,
3,Reasoning > option evaluation > (F),0,4,0,0.0000,0.0000,0.0000,,,
3,Reasoning > speculation > intent of the question writer,32,12,12,1.0000,0.3750,0.5455,,,
3,Reflection > emotion or impression,1,2,0,0.0000,0.0000,0.0000,,,
3,Reflection > meta-evaluation of a step,14,16,14,0.8750,1.0000,0.9333,,,
3,Reflection > meta-evaluation of a step > option (A),0,2,0,0.0000,0.0000,0.0000,,,
3,Reflection > meta-evaluation of a step > option (B),3,1,1,1.0000,0.3333,0.5000,,,
3,Reflection > meta-evaluation of a step > option (C),7,6,4,0.6667,0.5714,0.6154,,,
3,Reflection > meta-evaluation of a step > option (D),3,3,3,1.0000,1.0000,1.0000,,,
3,Reflection > meta-evaluation of a step > option (E),5,3,2,0.6667,0.4000,0.5000,,,
3,Reflection > meta-evaluation of a step > option (F),3,3,3,1.0000,1.0000,1.0000,,,
3,Restatement > rephrasing an earlier sentence,70,55,45,0.8182,0.6429,0.7200,,,
3,Restatement > rephrasing the prompt,0,1,0,0.0000,0.0000,0.0000,,,
3,Restatement > rephrasing the prompt > answer-format instruction,7,9,7,0.7778,1.0000,0.8750,,,
3,Restatement > rephrasing the prompt > option text,24,30,22,0.7333,0.9167,0.8148,,,
3,Restatement > rephrasing the prompt > question text,22,22,21,0.9545,0.9545,0.9545,,,
