id,jsonl_line,condition,seq_in_condition,letters
s0819_eval1multi0_044,94,eval1_multi0,44,E
s0819_eval1multi0_045,95,eval1_multi0,45,E
s0819_eval1multi0_046,96,eval1_multi0,46,E
s0819_eval1multi0_047,97,eval1_multi0,47,E
s0819_eval1multi0_048,98,eval1_multi0,48,E
s0819_eval1multi0_049,99,eval1_multi0,49,E
s0819_eval1multi0_050,100,eval1_multi0,50,C
s0819_eval0multi1_001,101,eval0_multi1,1,E
s0819_eval0multi1_002,102,eval0_multi1,2,E
s0819_eval0multi1_003,103,eval0_multi1,3,E
s0819_eval0multi1_004,104,eval0_multi1,4,C
s0819_eval0multi1_005,105,eval0_multi1,5,C
s0819_eval0multi1_006,106,eval0_multi1,6,"C,E"
s0819_eval0multi1_007,107,eval0_multi1,7,E
s0819_eval0multi1_008,108,eval0_multi1,8,E
s0819_eval0multi1_009,109,eval0_multi1,9,"C,E"
s0819_eval0multi1_010,110,eval0_multi1,10,E
s0819_eval0multi1_011,111,eval0_multi1,11,C
s0819_eval0multi1_012,112,eval0_multi1,12,C
s0819_eval0multi1_013,113,eval0_multi1,13,"C,E"
s0819_eval0multi1_014,114,eval0_multi1,14,E
s0819_eval0multi1_015,115,eval0_multi1,15,"C,E"
s0819_eval0multi1_016,116,eval0_multi1,16,E
s0819_eval0multi1_017,117,eval0_multi1,17,E
s0819_eval0multi1_018,118,eval0_multi1,18,
s0819_eval0multi1_019,119,eval0_multi1,19,E
s0819_eval0multi1_020,120,eval0_multi1,20,"C,E"
s0819_eval0multi1_021,121,eval0_multi1,21,E
s0819_eval0multi1_022,122,eval0_multi1,22,E
s0819_eval0multi1_023,123,eval0_multi1,23,E
s0819_eval0multi1_024,124,eval0_multi1,24,E
s0819_eval0multi1_025,125,eval0_multi1,25,E
s0819_eval0multi1_026,126,eval0_multi1,26,E
s0819_eval0multi1_027,127,eval0_multi1,27,"C,E"
s0819_eval0multi1_028,128,eval0_multi1,28,E
s0819_eval0multi1_029,129,eval0_multi1,29,E
s0819_eval0multi1_030,130,eval0_multi1,30,E
s0819_eval0multi1_031,131,eval0_multi1,31,C
s0819_eval0multi1_032,132,eval0_multi1,32,E
s0819_eval0multi1_033,133,eval0_multi1,33,E
s0819_eval0multi1_034,134,eval0_multi1,34,E
s0819_eval0multi1_035,135,eval0_multi1,35,E
s0819_eval0multi1_036,136,eval0_multi1,36,E
s0819_eval0multi1_037,137,eval0_multi1,37,E
s0819_eval0multi1_038,138,eval0_multi1,38,E
s0819_eval0multi1_039,139,eval0_multi1,39,E
s0819_eval0multi1_040,140,eval0_multi1,40,E
s0819_eval0multi1_041,141,eval0_multi1,41,E
s0819_eval0multi1_042,142,eval0_multi1,42,E
s0819_eval0multi1_043,143,eval0_multi1,43,E
s0819_eval0multi1_044,144,eval0_multi1,44,E
s0819_eval0multi1_045,145,eval0_multi1,45,E
s0819_eval0multi1_046,146,eval0_multi1,46,E
s0819_eval0multi1_047,147,eval0_multi1,47,
s0819_eval0multi1_048,148,eval0_multi1,48,E
s0819_eval0multi1_049,149,eval0_multi1,49,"C,E"
s0819_eval0multi0_001,150,eval0_multi0,1,E
s0819_eval0multi0_002,151,eval0_multi0,2,E
s0819_eval0multi0_003,152,eval0_multi0,3,E
s0819_eval0multi0_004,153,eval0_multi0,4,C
s0819_eval0multi1_050,154,eval0_multi1,50,E
s0819_eval0multi0_005,155,eval0_multi0,5,E
s0819_eval0multi0_006,156,eval0_multi0,6,E
s0819_eval0multi0_007,157,eval0_multi0,7,E
s0819_eval0multi0_008,158,eval0_multi0,8,E
s0819_eval0multi0_009,159,eval0_multi0,9,C
s0819_eval0multi0_010,160,eval0_multi0,10,E
s0819_eval0multi0_011,161,eval0_multi0,11,E
s0819_eval0multi0_012,162,eval0_multi0,12,E
s0819_eval0multi0_013,163,eval0_multi0,13,E
s0819_eval0multi0_014,164,eval0_multi0,14,E
s0819_eval0multi0_015,165,eval0_multi0,15,E
s0819_eval0multi0_016,166,eval0_multi0,16,E
s0819_eval0multi0_017,167,eval0_multi0,17,E
s0819_eval0multi0_018,168,eval0_multi0,18,E
s0819_eval0multi0_019,169,eval0_multi0,19,E
s0819_eval0multi0_020,170,eval0_multi0,20,C
s0819_eval0multi0_021,171,eval0_multi0,21,E
s0819_eval0multi0_022,172,eval0_multi0,22,E
s0819_eval0multi0_023,173,eval0_multi0,23,E
s0819_eval0multi0_024,174,eval0_multi0,24,E
s0819_eval0multi0_025,175,eval0_multi0,25,E
s0819_eval0multi0_026,176,eval0_multi0,26,E
s0819_eval0multi0_027,177,eval0_multi0,27,E
s0819_eval0multi0_028,178,eval0_multi0,28,
s0819_eval0multi0_029,179,eval0_multi0,29,E
s0819_eval0multi0_030,180,eval0_multi0,30,E
s0819_eval0multi0_031,181,eval0_multi0,31,E
s0819_eval0multi0_032,182,eval0_multi0,32,E
s0819_eval0multi0_033,183,eval0_multi0,33,E
s0819_eval0multi0_034,184,eval0_multi0,34,E
s0819_eval0multi0_035,185,eval0_multi0,35,E
s0819_eval0multi0_036,186,eval0_multi0,36,E
s0819_eval0multi0_037,187,eval0_multi0,37,E
s0819_eval0multi0_038,188,eval0_multi0,38,E
s0819_eval0multi0_039,189,eval0_multi0,39,E
s0819_eval0multi0_040,190,eval0_multi0,40,E
s0819_eval0multi0_041,191,eval0_multi0,41,E
s0819_eval0multi0_042,192,eval0_multi0,42,E
s0819_eval0multi0_043,193,eval0_multi0,43,E
s0819_eval0multi0_044,194,eval0_multi0,44,C
